token,frequency,token_length,rank,frequency_group
ទោះបីជាយ៉ាងណាក៏ដោយ,2,18,63,Rare (<10)
៣៥០,2,3,64,Rare (<10)
ម។,2,2,65,Rare (<10)
សសរ,2,3,66,Rare (<10)
លានតោន,2,6,67,Rare (<10)
១៩៩០,2,4,68,Rare (<10)
អសុរា,2,5,69,Rare (<10)
២០០៥,2,4,70,Rare (<10)
២០១២,2,4,71,Rare (<10)
ប្រហែល,2,6,72,Rare (<10)
៥០,2,2,73,Rare (<10)
វ,2,1,74,Rare (<10)
ICC,2,3,75,Rare (<10)
១៧,2,2,76,Rare (<10)
១៨៦៣,2,4,77,Rare (<10)
ឥសូរបុរៈ,2,8,78,Rare (<10)
ប្រែថា,2,6,79,Rare (<10)
៩៦៧,2,3,80,Rare (<10)
យជ្ញវរាហៈ,2,9,81,Rare (<10)
គុណនឹង,2,6,82,Rare (<10)
មានន័យថា,2,8,83,Rare (<10)
១១៥០,2,4,84,Rare (<10)
៩៥,2,2,85,Rare (<10)
ហង់រី,2,5,86,Rare (<10)
ក្នុងឆ្នាំ,2,10,87,Rare (<10)
នាក់។,2,5,88,Rare (<10)
22,2,2,89,Rare (<10)
°,2,1,90,Rare (<10)
ឥន្ទ្រប្រ័ស្ថ,2,13,91,Rare (<10)
១៨,2,2,92,Rare (<10)
៩០៧,2,3,93,Rare (<10)
ភូមិ,2,4,94,Rare (<10)
ធ្នឹម,2,5,95,Rare (<10)
ប្រជាជនប្រមាណ,2,13,96,Rare (<10)
នៃគ្រិស្តសករាជ។,2,15,97,Rare (<10)
លោកបណ្ឌិតមីសែល,2,14,98,Rare (<10)
ពាក្យ,2,5,99,Rare (<10)
ប្រាសាទអង្គរវត្តមានឈ្មោះដើមថា,2,29,100,Rare (<10)
ខេត្តកំពង់ចាម,2,13,101,Rare (<10)
នេះមានសេចក្ដីពន្យល់ដូចតទៅ៖,1,26,102,Rare (<10)
ឈ្មោះក្រុងមួយក្នុងប្រទេសឥណ្ឌាសម័យត្រង់កន្លែងក្រុងទេល្ហីសព្វថ្ងៃនេះ។,1,67,103,Rare (<10)
ប្រជាជនខ្មែរ,1,12,104,Rare (<10)
សម័យមហានគរ,1,10,105,Rare (<10)
ប្រើពាក្យនេះជាវិសេសនាមឬជាគោរមនៃក្រុមមហានគរ,1,42,106,Rare (<10)
ច្រើនប្រើក្នុងព្រះបរមរាជសាសន៍,1,29,107,Rare (<10)
ឬព្រះបរមរាជឱង្ការ,1,17,108,Rare (<10)
ថា,1,2,109,Rare (<10)
ព្រះបាទសម្តេចព្រះរាជឱង្ការបរមបពិត្រកម្ពុជាធិបតីស្រីឥន្រ្ទប្រ័ស្ថបុរីរ័ត្នរាជធានី,1,80,110,Rare (<10)
ប្រើពាក្យនេះតាំងអំពីបានព្រះខ័នរាជ្យ,1,35,111,Rare (<10)
ដែលមានសេចក្ដីតំណាលថា,1,20,112,Rare (<10)
ព្រះឥន្រ្ទយកមកប្រទានទុកជាកេរ្តិ៍ជាសស្រ្តាដ៏វិសេសសម្រាប់កម្ពុជារដ្ឋ។,1,67,113,Rare (<10)
ចំពោះប្រជាជនខ្មែរជាពិសេសអ្នករស់នៅខេត្តសៀមរាបច្រើននិយមហៅឈ្មោះរួមមួយថា,1,68,114,Rare (<10)
អ្នកនិពន្ធនៅលើពិភពលោកទាំងអស់បានកំណត់ហៅឈ្មោះរួមមួយថា,1,51,115,Rare (<10)
រហូតមកដល់បច្ចុប្បន្ន។,1,21,116,Rare (<10)
ឈ្មោះសម័យថ្មី,1,13,117,Rare (<10)
អង្គរវត្តមានន័យថា,1,17,118,Rare (<10)
ទីក្រុងវត្ត,1,11,119,Rare (<10)
ក្នុងភាសាខ្មែរ,1,14,120,Rare (<10)
អង្គរមានន័យថា,1,13,121,Rare (<10)
ទីក្រុង,1,7,122,Rare (<10)
ទីក្រុងធានី,1,11,123,Rare (<10)
ជាទម្រង់ប្រាក្រឹតនៃពាក្យ,1,24,124,Rare (<10)
នគរ,1,3,125,Rare (<10)
ដែលមកពីពាក្យភាសាសំស្ក្រឹត,1,25,126,Rare (<10)
nagara,1,6,127,Rare (<10)
नगर,1,3,128,Rare (<10)
វត្តគឺជាពាក្យខ្មែរសម្រាប់,1,25,129,Rare (<10)
ទេវាល័យលើដី,1,11,130,Rare (<10)
បានមកពីពាក្យបាលី,1,16,131,Rare (<10)
vatta,1,5,132,Rare (<10)
वत्त,1,4,133,Rare (<10)
មុនពេលនេះ,1,9,134,Rare (<10)
ប្រាសាទនេះត្រូវបានគេស្គាល់ថាជា,1,30,135,Rare (<10)
Parama,1,6,136,Rare (<10)
Vishnuloka,1,10,137,Rare (<10)
ជាភាសាសំស្ក្រឹត,1,15,138,Rare (<10)
បន្ទាប់ពីងារបច្ឆាមរណៈនៃស្ថាបនិកនៃប្រាសាទ។,1,41,139,Rare (<10)
អត្តបទសិលារឹកនគរវត្តភាគច្រើនបង្ហាញថា,1,36,140,Rare (<10)
អ្នកស្រុកនៅចង់ចាំបាននៅឡើយនៅឈ្មោះដើមរបស់ប្រាសាទនេះ,1,49,141,Rare (<10)
ដោយគេហៅថាស្ថានព្រះវិស្ណុលោក,1,27,142,Rare (<10)
ឬមហាវិស្ណុលោក។,1,14,143,Rare (<10)
ឈ្មោះនេះមានន័យមិនខុសពីឈ្មោះដើមថា,1,32,144,Rare (<10)
បរមវិស្ណុលោកនោះទេ។,1,18,145,Rare (<10)
ប្រាសាទអង្គរវត្តបានសាងសង់,1,25,146,Rare (<10)
នៅដើមសតវត្សរ៍ទី,1,15,147,Rare (<10)
ដោយព្រះបាទសូរ្យវរ្ម័នទី,1,23,148,Rare (<10)
ខ្លះសរសេរ,1,9,149,Rare (<10)
ព្រះបាទសូរិយាវរ្ម័នទី,1,21,150,Rare (<10)
ដើម្បីឧទ្ទិសថ្វាយព្រះវិស្ណុ,1,27,151,Rare (<10)
ក្នុងព្រហ្មញ្ញសាសនា។,1,20,152,Rare (<10)
ក្នុងនោះផងដែរ,1,13,153,Rare (<10)
ប្រាសាទនេះមានលក្ខណៈល្អវិចិត្រ,1,29,154,Rare (<10)
និងបង្ហាញនូវសិល្បៈខ្មែរដ៏អស្ចារ្យដល់កំពូល,1,41,155,Rare (<10)
បើតាមលោកហ្សក,1,12,156,Rare (<10)
សឺដែស,1,5,157,Rare (<10)
ប្រាសាទអង្គរវត្តគឺតំណាងឲ្យពិភពលោក។,1,34,158,Rare (<10)
ប្រាង្គកណ្តាលតំណាងឲ្យភ្នំព្រះសុមេរុដែលស្ថិតនៅកណ្តាលពិភពលោក។,1,59,159,Rare (<10)
ប្រាង្គទាំង,1,11,160,Rare (<10)
តំណាងឲ្យកំពូលភ្នំព្រះសុមេរុដែលជាជាយផែនដី,1,40,161,Rare (<10)
និងគូទឹកព័ទ្ធជុំវិញប្រាសាទគឺ,1,28,162,Rare (<10)
ជាសមុទ្រដែលព័ទ្ធជុំវិញ។,1,23,163,Rare (<10)
ប្រាសាទបរមវិស្ណុលោក។,1,20,164,Rare (<10)
ប៉ុន្តែការវិវត្តនៃឈ្មោះអង្គរវត្តនេះ,1,35,165,Rare (<10)
អាចត្រូវបានគេយកតាមប្រវត្តិសាស្រ្ត។,1,34,166,Rare (<10)
ស្លាកស្នាមដំបូងគឺ,1,17,167,Rare (<10)
មាននៅសតវត្សរ៍ទី,1,15,168,Rare (<10)
ជាការពិតណាស់ប្រាសាទនេះបាន,1,25,169,Rare (<10)
ក្លាយទៅជា,1,9,170,Rare (<10)
កន្លែងពុទ្ធសាសនាដ៏ល្បីល្បាញមួយ។,1,31,171,Rare (<10)
តាមសិលាចារឹកនៅសតវត្សរ៍ទី,1,24,172,Rare (<10)
ឈ្មោះនៃប្រាសាទអង្គរវត្តគឺ,1,25,173,Rare (<10)
ព្រះមហានគរឥន្រ្ទប្រត្ថព្រះពិស្ណុលោក,1,35,174,Rare (<10)
ឥន្រ្ទប្រត្ថ,1,12,175,Rare (<10)
ជាភាសាសំស្រ្កឹត,1,15,176,Rare (<10)
ហើយបានក្លាយទៅជាភាសាបាលី,1,23,177,Rare (<10)
បញ្ជាក់ទៅលើការឆ្លងពីព្រហ្មញ្ញសាសនា,1,34,178,Rare (<10)
ទៅព្រះពុទ្ធសាសនាហីនយាន។,1,23,179,Rare (<10)
ពាក្យឥន្រ្ទប្រត្ថ,1,17,180,Rare (<10)
ទីក្រុងរបស់ព្រះឥន្ទ,1,19,181,Rare (<10)
ក្នុងព្រហ្មញ្ញសាសនា,1,19,182,Rare (<10)
គេជឿថាព្រះឥន្ទមានទីកន្លែងនៅលើដី។,1,32,183,Rare (<10)
ពាក្យនេះជាកន្លែងសម្រាប់,1,23,184,Rare (<10)
គោរពបូជា។,1,9,185,Rare (<10)
ឧទាហរណ៍ដូចជា,1,12,186,Rare (<10)
វត្តទាំងពីរនៅក្នុង,1,18,187,Rare (<10)
ប្រាសាទអង្គរវត្តមានឈ្មោះថា,1,26,188,Rare (<10)
ឥន្ទបត្តបុរីខាងត្បូង,1,20,189,Rare (<10)
ឥន្ទបត្តបុរីខាងជើង,1,18,190,Rare (<10)
ការហៅទៅលើឈ្មោះថា,1,16,191,Rare (<10)
ពិស្ណុលោក,1,9,192,Rare (<10)
គឺសម្រាប់រំលឹកទៅដល់,1,19,193,Rare (<10)
មរណៈនាមរបស់ស្តេច,1,16,194,Rare (<10)
ដែលបានកសាងប្រាសាទនេះ,1,20,195,Rare (<10)
រីឯ,1,3,196,Rare (<10)
ស្រីសុធរ,1,8,197,Rare (<10)
ជាការហៅដើម្បីរំលឹកឡើងវិញ,1,24,198,Rare (<10)
ទៅលើឈ្មោះទីក្រុងចាស់នៅអង្គរ,1,27,199,Rare (<10)
ឈ្មោះថា,1,7,200,Rare (<10)
ស្រីយសោធរបុរៈ,1,13,201,Rare (<10)
ហើយមួយចំណែកទៀតនៅសតវត្យរ៍ទី,1,26,202,Rare (<10)
ហៅថាឥន្ទបត្តម្ភានគរ,1,19,203,Rare (<10)
ស្រីសុធរវពិស្ណុលោក,1,18,204,Rare (<10)
ចំណែកឈ្មោះថាអង្គរវត្ត,1,21,205,Rare (<10)
គឺជាឈ្មោះសាមញ្ញសម្រាប់កំណត់បូជនីយដ្ឋាននេះ។,1,42,206,Rare (<10)
ចំពោះប្រជាជនខ្មែរ,1,17,207,Rare (<10)
ពិសេសអ្នករស់នៅខេត្តសៀមរាប,1,25,208,Rare (<10)
ច្រើនហៅឈ្មោះរួមមួយគឺ,1,20,209,Rare (<10)
អ្នកនិពន្ធអឺរ៉ុប,1,16,210,Rare (<10)
ទាំងអស់បានកំណត់ហៅឈ្មោះរួមមួយគឺអង្គរវត្តដែរ។ប្រាសាទអង្គរវត្តត្រូវបានបញ្ចូលទៅក្នុងបញ្ជីបេតិកភណ្ឌពិភពលោករបស់អង្គការយូណេស្កូ,1,120,211,Rare (<10)
ប្រាសាទអង្គរវត្តត្រូវបានរកឃើញឡើងវិញដោយ,1,38,212,Rare (<10)
ធម្មជាតិវិទូបារាំងលោក,1,21,213,Rare (<10)
ព្រះបាទសូរ្យវរ្ម័នទី,1,20,214,Rare (<10)
អ្នកកសាងអង្គរវត្ត,1,17,215,Rare (<10)
អង្គរវត្តសណ្ដូកទៅភាគខាងជើង,1,26,216,Rare (<10)
kiloម៉ែត្រs,1,11,217,Rare (<10)
mi,1,2,218,Rare (<10)
នៃទីប្រជុំជនសម័យទំនើបសៀមរាប,1,27,219,Rare (<10)
និងទិសខាងត្បូងចម្ងាយខ្លី,1,24,220,Rare (<10)
និងខាងកើតបន្តិចនៃរាជធានីពីមុននេះ,1,32,221,Rare (<10)
ដែលស្ថិតនៅបាពួន។,1,16,222,Rare (<10)
វាគឺជាតំបន់របស់កម្ពុជាមួយ,1,25,223,Rare (<10)
ដែលមានក្រុមរចនាសម្ព័ន្ធសំណង់សំខាន់ៗ។,1,36,224,Rare (<10)
ស្ថិតនៅខាងត្បូងបំផុតនៃស្ថានីយសំខាន់ៗរបស់អង្គរ។ការរចនាដើមដំបូង,1,61,225,Rare (<10)
និងសំណង់ប្រាសាទបានធ្វើឡើងនៅពាក់កណ្ដាលទីមួយនៃសតវត្សទី,1,52,226,Rare (<10)
កំឡុងរជ្ជកាលព្រះសូរ្យវរ្ម័នទី,1,29,227,Rare (<10)
បានសោយរាជ្យ,1,11,228,Rare (<10)
រ,1,1,229,Rare (<10)
ឧទ្ទិសដល់ព្រះវិស្ណុ,1,19,230,Rare (<10)
ត្រូវបានសាងឡើងជាប្រាសាទភាវៈតំណាងព្រះមហាក្សត្រនិងទីក្រុងរាជធានី។,1,63,231,Rare (<10)
មិនថាសិលាចារឹកការស្ថាបនា,1,24,232,Rare (<10)
រឺក៏អក្សរចារឹកសហសម័យមួយណាដែលបញ្ជាក់អំពីប្រាសាទនេះត្រូវបានគេរកឃើញទេ,1,66,233,Rare (<10)
ឈ្មោះដើមរបស់ប្រាសាទមិនត្រូវបានគេស្គាល់,1,38,234,Rare (<10)
ប៉ុន្តែវាប្រហែលជាត្រូវបានស្គាល់ថាជា,1,35,235,Rare (<10)
ន័យចំ,1,5,236,Rare (<10)
ស្ថានព្រះវិស្ណុដ៏ពិសិដ្ឋ,1,24,237,Rare (<10)
ខ្មែរបុរាណ,1,10,238,Rare (<10)
អះ,1,2,239,Rare (<10)
សំស្ក្រឹត,1,9,240,Rare (<10)
បន្ទាប់ពីទេវៈជាប្រមុខ។,1,22,241,Rare (<10)
ការដំណើរការហាក់បីដូចបញ្ចប់មួយរយៈពេលខ្លី,1,39,242,Rare (<10)
ក្រោយការសោយទីវង្គតរបស់ព្រះមហាក្សត្រ,1,35,243,Rare (<10)
ដែលបន្សល់ទុកខ្លះនូវការតុបតែងលំអចម្លាក់លៀនស្រាលៗមិនទាន់បានបញ្ចប់។,1,64,244,Rare (<10)
១១៧៧,1,4,245,Rare (<10)
ប្រហែលជា,1,8,246,Rare (<10)
ឆ្នាំបន្ទាប់ពីការសោយទីវង្គតរបស់ព្រះសូរ្យវរ្ម័នទី,1,48,247,Rare (<10)
អង្គរត្រូវបានលួចប្លន់បំផ្លិចបំផ្លាញដោយពួកចាម,1,44,248,Rare (<10)
សត្រូវជាប្រពៃណីរបស់ខ្មែរ។,1,25,249,Rare (<10)
ក្រោយមក,1,7,250,Rare (<10)
ចក្រភពនេះត្រូវបានស្ដារដោយព្រះមហាក្សត្រថ្មី,1,42,251,Rare (<10)
ជ័យវរ្ម័នទី,1,11,252,Rare (<10)
ដែលបានស្ថាបនារាជធានីថ្មីនិងប្រាសាទភាវៈតំណាង,1,43,253,Rare (<10)
អង្គរធំ,1,7,254,Rare (<10)
និងបាយ័នរៀងៗគ្នា,1,16,255,Rare (<10)
ពីរបីសហាតិមាត្រទៅទិសខាងជើងនេះ។,1,30,256,Rare (<10)
នៅចុងសតវត្សទី,1,13,257,Rare (<10)
អង្គរវត្តបន្តិចម្ដងៗបានប្រែពីការប្រើជាប្រយោជន៍ព្រហ្មញ្ញសាសនាទៅជាប្រយោជន៍ពុទ្ធសាសនាថេរវាទ,1,88,258,Rare (<10)
ដែលបន្តមកដល់សម័យបច្ចុប្បន្ននេះ។,1,31,259,Rare (<10)
អង្គរវត្តគឺមិនធម្មតាចំណោមប្រាសាទសម័យអង្គរនានាក្នុងនោះ,1,53,260,Rare (<10)
ទោះបីជាវាគឺជាអ្វីមួយត្រូវបានគេទុកចោលបន្ទាប់ពីសតវត្សទី,1,53,261,Rare (<10)
ប្រាសាទនេះមិនដែលត្រូវបានគេបោះបង់ចោលទាំងស្រុងឡើយ,1,47,262,Rare (<10)
ការការពាររបស់ប្រាសាទកំពុងឈានមកដល់,1,33,263,Rare (<10)
ម្យ៉ាងដោយការពិតថាគូទឹករបស់វាក៏បានផ្ដល់ការគាំពារខ្លះពីការដុះស៊ប់ទ្រប់ដោយព្រៃស្បាតផងដែរ។,1,86,264,Rare (<10)
ម្នាក់ក្នុងចំណោមពួកអ្នកទេសចរណ៍លោកខាងលិចទៅកាន់ប្រាសាទនេះគឺ,1,57,265,Rare (<10)
អន់តូន្យូ,1,9,266,Rare (<10)
ដា,1,2,267,Rare (<10)
ម៉ាដឹឡេណា,1,9,268,Rare (<10)
សង្ឃជាតិព័រទុយហ្គាល់មួយអង្គ,1,27,269,Rare (<10)
ដែលបានទៅលេងនៅឆ្នាំ,1,18,270,Rare (<10)
១៥៨៦,1,4,271,Rare (<10)
និងបាននិយាយថាវា,1,15,272,Rare (<10)
គឺដូចជាសំណង់មិនធម្មតាដែលមិនអាចពិពណ៌នាវាជាមួយប៊ិចបាន,1,51,273,Rare (<10)
ជាពិសេស,1,7,274,Rare (<10)
ដោយហេតុថាវាហាក់ដូចជាគ្មានសំណង់ផ្សេងណាដូចនៅក្នុងលោក។,1,51,275,Rare (<10)
វាមានប្រាង្គច្រើននិងការតុបតែង,1,29,276,Rare (<10)
ហើយការធ្វើឱ្យល្អឡើងទាំងអស់ដែលទេពកោសល្យមនុស្សអាចនឹងគិតដល់។,1,57,277,Rare (<10)
នៅពាក់កណ្ដាលសតវត្សទី,1,20,278,Rare (<10)
ប្រាសាទនេះត្រូវបានទៅទស្សនាដោយធម្មជាតិវិទូ,1,41,279,Rare (<10)
និងអ្នករុករកជាតិបារាំង,1,22,280,Rare (<10)
ដែលបានផ្សព្វផ្សាយដោយប្រជាជននូវស្ថានីយនេះនៅភាគខាងលិចតាមរយៈសាធារណកម្មនៃកំណត់ត្រាការធ្វើដំណើរ,1,90,281,Rare (<10)
នៅក្នុងអ្វីដែលលោកបានសរសេរ,1,25,282,Rare (<10)
មួយក្នុងចំណោមប្រាសាទទាំងនេះ,1,27,283,Rare (<10)
ជាគូប្រជែងទៅនឹងរបស់សុឡុម៉ុន,1,27,284,Rare (<10)
និងសាងឡើងដោយមីឆេលអ៊ែងជែលឡូ,1,26,285,Rare (<10)
ដែលចូលរួមជាកន្លែងកិត្តិយសមួយនៅក្បែរសំណង់ដ៏ស្រស់ស្អាត់បំផុតរបស់យើង។,1,66,286,Rare (<10)
ប្រាសាទនេះធំជាងរាល់សំណង់ដែលបានបន្សល់ទុកអោយពួកយើងដោយក្រិក,1,56,287,Rare (<10)
រ៉ូម,1,4,288,Rare (<10)
ហើយបង្ហាញអោយឃើញភាពផ្ទុយស្រឡះដ៏ក្រៀមក្រំទៅនឹងសភាពនៃអនារ្យធម៌ដែលក្នុងនោះប្រទេសជាតិនេះឥឡូវ​ត្រូវបានលិចលង់ទៅហើយ។,1,108,289,Rare (<10)
លោកមូហ៊ត,1,8,290,Rare (<10)
ក៏ដូចជាពួកអ្នកទេសចរណ៍លោកខាងលិចដំបូងៗដែរ,1,39,291,Rare (<10)
បានគិតថាវាពិបាកនឹងជឿថាខ្មែរអាចសាងសង់ប្រាសាទនេះបាន,1,49,292,Rare (<10)
និងបានចុះកាលបរិច្ឆេទវាដោយច្រឡំទៅនឹងក្បែរៗសម័យមួយដូចគ្នាដូចរ៉ូម។,1,63,293,Rare (<10)
ប្រវត្តិពិតនៃអង្គរវត្តត្រូវបានទម្លុះទម្លាយរួមគ្នាដោយភស្តុតាងខាងរចនាបថនិងអភិលេខន៍តែប៉ុណ្ណោះ,1,90,294,Rare (<10)
ដែលបានប្រមូលបានកំឡុងការបោសសំអាតជាបន្តបន្ទាប់និងការស្ដារស្នាដៃឡើងវិញ,1,67,295,Rare (<10)
បានបន្តទូទាំងស្ថានីយអង្គរទាំងមូល។,1,33,296,Rare (<10)
គ្មានលំនៅដ្ឋាន,1,14,297,Rare (<10)
ផ្ទះ,1,4,298,Rare (<10)
សញ្ញានៃការតាំងលំនៅជាប្រក្រតីរួមជាមួយប្រដាប់ប្រដាចំអិនអាហារ,1,58,299,Rare (<10)
អាវុធ,1,5,300,Rare (<10)
វត្ថុនៃការតុបតែងខ្លួនជាធម្មតាបានរកឃើញនៅស្ថានីយបុរាណនានាឡើយ។,1,59,301,Rare (<10)
ជំនួសវិញ,1,8,302,Rare (<10)
មានភស្តុតាងនៃបូជនីយដ្ឋាននានាខ្លួនឯងទៅវិញ។,1,41,303,Rare (<10)
អង្គរវត្តត្រូវការការស្ដារឡើងវិញច្រើននៅសតវត្សទី,1,46,304,Rare (<10)
ជាសំខាន់ការយកដីរុំកោះនិងសារពើរុក្ខជាតិចេញ។,1,42,305,Rare (<10)
ការងារត្រូវបានអាក់ខានដោយសង្គ្រាមរដ្ឋប្បវេណី,1,43,306,Rare (<10)
និងការគ្រប់គ្រងប្រទេសដោយខ្មែរក្រហមកំឡុងទសវត្ស,1,45,307,Rare (<10)
១៩៧០,1,4,308,Rare (<10)
១៩៨០,1,4,309,Rare (<10)
ប៉ុន្តែការបំផ្លិចបំផ្លាញតិចតួចដោយប្រៀបធៀបត្រូវបានធ្វើកំឡុងសម័យនោះ,1,65,310,Rare (<10)
ក្រៅពីនេះទៅមានពួកចោរ,1,20,311,Rare (<10)
និងការបំផ្លាញនូវរូបចម្លាក់សម័យក្រោយអង្គរភាគច្រើនទៀត។,1,52,312,Rare (<10)
ប្រាសាទនេះគឺជានិមិត្តរូបពោរពេញដោយថាមពលរបស់កម្ពុជា,1,49,313,Rare (<10)
និងជាប្រភពនៃមហាមោទនភាពជាតិដែលបានដាក់ជាកត្តាក្នុងទំនាក់ទំនងការទូតរបស់កម្ពុជាជាមួយបារាំង,1,86,314,Rare (<10)
សហរដ្ឋ,1,6,315,Rare (<10)
និងអ្នកជិតខាងរបស់ខ្លួន,1,22,316,Rare (<10)
ថៃ។,1,3,317,Rare (<10)
រូបគំនូរនៃអង្គរវត្តធ្លាប់ជាផ្នែកមួយនៃទង់ជាតិនានារបស់កម្ពុជាចាប់តាំងពីការដាក់បញ្ចូលនូវកំណែលើកទីមួយ,1,97,318,Rare (<10)
រង្វង់ឆ្នាំ,1,11,319,Rare (<10)
ដោយសារទស្សនៈវិស័យខាងប្រវត្តិសាស្ត្រកាន់តែធំ,1,43,320,Rare (<10)
និងបរិវត្តវប្បធម៌ថែមទៀត,1,23,321,Rare (<10)
យ៉ាងណាៗ,1,7,322,Rare (<10)
ប្រាសាទអង្គរវត្តនេះមិនបានក្លាយត្រឹមតែជានិមិត្តរូបនៃមោទនភាពជាតិផ្ទាល់ជាតិសាសន៍នោះទេ,1,82,323,Rare (<10)
ប៉ុន្តែក៏ត្រូវបានដាក់បញ្ចូលទៅក្នុងដំណើរការនយោបាយ,1,48,324,Rare (<10)
វប្បធម៌នៃផលិតកម្មកេរដំណែលបារាំង,1,31,325,Rare (<10)
អាណានិគម,1,8,326,Rare (<10)
ក្នុងនោះដែលទីស្ថានប្រាសាទដើមត្រូវបានតាំងបង្ហាញក្នុងពិព័ណអាណានិគមបារាំងនិងសកលនៅប៉ារីសនិងម៉ាខ់សីរវាងឆ្នាំ,1,103,327,Rare (<10)
១៨៨៩,1,4,328,Rare (<10)
១៩៣៧,1,4,329,Rare (<10)
មរតកសិល្បៈដ៏រុងរឿងនៃអង្គរវត្តនិងបូជនីយដ្ឋានខ្មែរផ្សេងៗនៅតំបន់អង្គរបានដឹកនាំបារាំងដោយផ្ទាល់ទទួលយកកម្ពុជាជាអាណាព្យាបាលនៅថ្ងៃ,1,122,330,Rare (<10)
សីហា,1,4,331,Rare (<10)
និងលុកលុយសៀមដើម្បីត្រួតត្រាលើវិកិណ្ណដ្ឋាននានា។,1,46,332,Rare (<10)
នេះបាននាំឱ្យកម្ពុជាភ្លាមៗអះអាងដែនដីនានាឡើងវិញនៅជ្រុងខាងលិចឆៀងខាងជើងនៃប្រទេសដែលស្ថិតនៅក្រោមការគ្រប់គ្រងរបស់សៀម,1,109,333,Rare (<10)
ថៃ,1,2,334,Rare (<10)
១៣៥១,1,4,335,Rare (<10)
នៃគ,1,3,336,Rare (<10)
ម៉ានិច,1,6,337,Rare (<10)
ជុមសៃ,1,5,338,Rare (<10)
រឺដោយរឿងរ៉ាវខ្លះៗ,1,17,339,Rare (<10)
កម្ពុជាបានទទួលបានឯករាជ្យពីបារាំងនៅថ្ងៃ,1,38,340,Rare (<10)
វិច្ឆិកា,1,8,341,Rare (<10)
១៩៥៣,1,4,342,Rare (<10)
និងបានគ្រប់គ្រងអង្គរវត្តចាប់តាំងពីពេលនោះមក។កំឡុងពេលនៅចំកណ្ដាលនៃសង្គ្រាមវៀតណាម,1,77,343,Rare (<10)
ព្រះប្រមុខរដ្ឋនរោត្តម,1,21,344,Rare (<10)
សីហនុបានទទួលចាក្លឹន,1,19,345,Rare (<10)
ខឹនន្ឌីនៅកម្ពុជាដើម្បីបំពេញក្ដីស្រមៃអស់មួយជីវិតរបស់លោកស្រីទៅមើលអង្គរវត្ត។,1,73,346,Rare (<10)
នៅក្នុងកុប្បកម្ម,1,16,347,Rare (<10)
មករា,1,4,348,Rare (<10)
២០០៣,1,4,349,Rare (<10)
បានផ្ទុះនៅភ្នំពេញ,1,17,350,Rare (<10)
ពេលដែលពាក្យចចាមអារ៉ាមមិនពិតទាល់តែសោះបានខ្ចរខ្ចាយថាតារាសម្ដែងស្រីសាច់រឿងល្ខោនថៃបានអះអាងថាអង្គរវត្តជារបស់ថៃ។,1,106,351,Rare (<10)
ប្រាសាទអង្គរមានកម្ពស់,1,21,352,Rare (<10)
